ticket_id,employee_id,payroll_id,ticket_reason,ticket_description,ticket_status,created_date
T000110,E0137,P001642,Tax withholding question,Enjoy focus rise thousand even lot respond yet least happen here book million.,Open,2025-11-30
T000111,E0249,P002987,Missing overtime pay,Authority perform former show spring point with investment.,Open,2025-12-15
T000112,E0043,P000507,Tax withholding question,Front training information themselves day career former garden affect party positive.,Resolved,2025-08-15
T000113,E0243,P002910,Paycheck lower than expected,Mouth reflect them character pull bit ever picture image discover four create state hope.,Resolved,2025-09-30
T000114,E0171,P002046,Benefits deduction question,Book end teacher second write consumer face remember expert turn worker raise American partner the tend against above.,Resolved,2025-09-30
T000115,E0042,P000496,Missing bonus,Magazine environmental small remember decide seek pretty really wind accept.,Resolved,2025-08-31
T000116,E0178,P002133,Missing overtime pay,Bag despite despite her article case couple only.,Resolved,2025-11-15
T000117,E0001,P000001,Paycheck lower than expected,Blood plant without listen specific ask TV operation chance cup game anyone production pretty.,Resolved,2025-07-15
T000118,E0027,P000315,Missing overtime pay,Benefit medical fear situation current behavior talk offer pick government law push despite consider lay.,In Review,2025-08-15
T000119,E0107,P001273,PTO deduction issue,Deep rise matter page occur western discover office enter plan.,Open,2025-07-15
T000120,E0162,P001942,Benefits deduction question,Baby recognize safe quality several today take idea human plant guy television purpose staff minute.,Open,2025-11-30
T000121,E0248,P002968,Paycheck lower than expected,Story stock team mind industry themselves listen news mission information strong course.,Resolved,2025-08-31
T000122,E0110,P001317,PTO deduction issue,Food east card notice particularly when challenge probably happen process power tough choice door next them.,Resolved,2025-11-15
T000123,E0063,P000756,Incorrect hours worked,Could image particularly claim major relate join catch chair space and radio control state.,Resolved,2025-12-31
T000124,E0148,P001771,Missing bonus,Remember understand among quite effect right attorney move successful various.,In Review,2025-10-15
T000125,E0101,P001201,Tax withholding question,Heavy hand deep evening prepare deal they shake low under rate rock against think will assume per arrive perform.,Resolved,2025-07-15
T000126,E0182,P002175,Benefits deduction question,Specific yeah reach manager sit vote seat language mind expert according many realize cold chance must fine star.,Open,2025-08-15
T000127,E0166,P001992,PTO deduction issue,Generation allow point policy rate suffer able turn summer choice true near from material process somebody rest leg.,Open,2025-12-31
T000128,E0074,P000880,Tax withholding question,Consumer account wish little spend upon think as represent learn.,In Review,2025-08-31
T000129,E0064,P000766,Missing bonus,Full building which poor mean them relationship contain.,In Review,2025-11-30
T000130,E0078,P000928,Missing bonus,Soldier body participant growth whom the reflect poor activity young establish indicate natural without.,Open,2025-08-31
T000131,E0199,P002378,Direct deposit issue,Energy child make he later quite class less church none their those responsibility now college side open second.,Open,2025-07-31
T000132,E0115,P001375,Missing overtime pay,May artist anything day never others guy card religious agent fish race character final summer any available benefit.,Resolved,2025-10-15
T000133,E0152,P001815,Missing bonus,Item politics worry time benefit few in action case within decision government age answer.,Open,2025-08-15
T000134,E0150,P001799,Paycheck lower than expected,Out benefit office attention fact himself painting interview research course land poor.,Resolved,2025-12-15
T000135,E0078,P000930,Benefits deduction question,Sound of cost relationship like task view member Mr leg away follow lot stay itself body firm girl wrong.,In Review,2025-09-30
T000136,E0037,P000437,Benefits deduction question,Own group television than term among read girl authority end participant.,In Review,2025-09-15
T000137,E0017,P000197,Missing overtime pay,Share mention always TV pretty score difference its compare.,In Review,2025-09-15
T000138,E0147,P001763,Paycheck lower than expected,When value two accept wind explain no two best force generation worry today agree bill feeling some.,Resolved,2025-12-15
T000139,E0089,P001065,PTO deduction issue,Science issue bar total fill throw customer plan magazine whether move clear hundred listen.,In Review,2025-11-15
T000140,E0196,P002343,Tax withholding question,Give involve method indeed position we hard sure wife sign evening full.,In Review,2025-08-15
T000141,E0211,P002529,Missing bonus,Anyone capital range have campaign grow read full us power agent.,Resolved,2025-11-15
T000142,E0106,P001269,Incorrect hours worked,West measure evening conference report often finally include last give score leg participant significant.,In Review,2025-11-15
T000143,E0194,P002324,Direct deposit issue,House whose far serious walk past employee big price speech natural region example account father property.,Open,2025-10-31
T000144,E0232,P002780,Benefits deduction question,Fast report at watch hand somebody industry movie most early oil administration body most lawyer behind office.,Open,2025-10-31
T000145,E0186,P002226,Tax withholding question,Wait everything green piece half Mrs perhaps result follow cold move training.,Resolved,2025-09-30
T000146,E0038,P000451,Incorrect hours worked,Myself itself or rich far turn above get.,Open,2025-10-15
T000147,E0181,P002165,Benefits deduction question,Try successful born build appear travel involve want check sing quite I hope.,Open,2025-09-15
T000148,E0198,P002373,PTO deduction issue,Try good eight force long election note cold yard he hot quite road send wait big take because power.,Resolved,2025-11-15
T000149,E0168,P002013,Paycheck lower than expected,Modern more next up worry eye as stay paper after apply.,In Review,2025-11-15
T000150,E0023,P000271,Missing bonus,Much simply whole share behavior material especially collection scene city explain may indeed take.,Resolved,2025-10-15
T000151,E0154,P001841,Missing overtime pay,Down item oil huge need lot they ability forget life player little across.,Open,2025-09-15
T000152,E0245,P002935,Paycheck lower than expected,Activity religious Mr small shoulder specific site production.,Open,2025-10-15
T000153,E0082,P000979,Missing bonus,Focus tell sense piece clearly miss material contain look decade event however manage down chance product everybody draw.,In Review,2025-10-15
T000154,E0181,P002167,Tax withholding question,Bring set pay before mean answer adult pick enjoy show their population run myself.,Resolved,2025-10-15
T000155,E0030,P000355,Benefits deduction question,Team break imagine really responsibility white mean maintain Democrat white.,Resolved,2025-10-15
T000156,E0157,P001877,Missing overtime pay,Believe Mrs Congress employee most body also with just.,Open,2025-09-15
T000157,E0016,P000185,Missing overtime pay,Commercial fear respond west official threat color thank here keep case product summer perform result trade end decade.,In Review,2025-09-15
T000158,E0229,P002745,Incorrect hours worked,Nature customer save light since sort whole stage.,Resolved,2025-11-15
T000159,E0135,P001615,Missing overtime pay,North course next hit spring third institution lose indeed building decade card usually name stage positive.,In Review,2025-10-15
T000160,E0230,P002760,Benefits deduction question,Product baby night rather someone account at tonight feeling discuss who instead trial economic hope color form.,Open,2025-12-31
T000161,E0143,P001707,Missing bonus,He make after perform law the single scene easy test stay capital heart choice inside.,Resolved,2025-08-15
T000162,E0156,P001862,Incorrect hours worked,Cultural trouble practice note professional tough on word move list current red.,In Review,2025-07-31
T000163,E0021,P000247,Missing bonus,Score style quality international tough develop style success leader computer country teacher agree.,Resolved,2025-10-15
T000164,E0047,P000556,Incorrect hours worked,Main about federal reflect seven others without various too student all indicate specific important require card.,Resolved,2025-08-31
T000165,E0147,P001753,PTO deduction issue,Prevent west here throughout idea speak treat doctor degree job when seven course north tell decision cell.,Open,2025-07-15
T000166,E0114,P001365,Direct deposit issue,Too could bar firm without into shake type report trade rest.,Resolved,2025-11-15
T000167,E0006,P000068,Tax withholding question,Look family call subject phone me land minute decade machine third between cold.,In Review,2025-10-31
T000168,E0219,P002619,PTO deduction issue,Information plant want control culture range story employee we matter its administration hour clear young policy tonight near thus.,In Review,2025-08-15
T000169,E0191,P002285,Tax withholding question,During cell box ask no thing contain pressure daughter.,Resolved,2025-09-15
T000170,E0045,P000533,Direct deposit issue,Full last road city meeting field evening ready store long source vote see administration need local answer news tend.,Open,2025-09-15
T000171,E0240,P002874,Missing overtime pay,Yourself although beyond cup attention executive beat while key clear.,Resolved,2025-09-30
T000172,E0226,P002706,Paycheck lower than expected,Live deal owner population star pattern require out easy.,Resolved,2025-09-30
T000173,E0126,P001503,Benefits deduction question,Memory number wall ok budget force Democrat it physical arrive she.,Open,2025-08-15
T000174,E0064,P000762,Missing overtime pay,Then produce collection no street doctor green both movie.,Open,2025-09-30
T000175,E0230,P002753,Incorrect hours worked,Rock exist new prepare student attack reflect article.,Resolved,2025-09-15
T000176,E0101,P001212,Paycheck lower than expected,Summer final suffer course star identify finally throughout reach throw second type its modern listen record white serve.,Open,2025-12-31
T000177,E0187,P002244,Direct deposit issue,Either school land today special tonight role culture nice car.,Resolved,2025-12-31
T000178,E0150,P001794,Tax withholding question,Economy mouth writer then order stop star space one mean series major government.,Resolved,2025-09-30
T000179,E0045,P000536,Tax withholding question,Social behavior report water response present kind positive north everybody evening property them politics.,In Review,2025-10-31
T000180,E0146,P001747,Missing overtime pay,Total ready onto leave interview oil kid pay kid full rather they prove decade then.,In Review,2025-10-15
